
Feature reduction based on permutation importance ...
[0]	validation_0-rmse:185.09994	validation_1-rmse:185.09994
[1]	validation_0-rmse:154.12846	validation_1-rmse:154.12846
[2]	validation_0-rmse:136.30653	validation_1-rmse:136.30653
[3]	validation_0-rmse:126.53401	validation_1-rmse:126.53401
[4]	validation_0-rmse:121.24482	validation_1-rmse:121.24482
[5]	validation_0-rmse:118.42406	validation_1-rmse:118.42406
[6]	validation_0-rmse:116.93448	validation_1-rmse:116.93448
[7]	validation_0-rmse:115.92969	validation_1-rmse:115.92969
[8]	validation_0-rmse:115.23145	validation_1-rmse:115.23145
[9]	validation_0-rmse:114.63395	validation_1-rmse:114.63395
[10]	validation_0-rmse:114.28162	validation_1-rmse:114.28162
[11]	validation_0-rmse:113.73770	validation_1-rmse:113.73770
[12]	validation_0-rmse:113.32689	validation_1-rmse:113.32689
[13]	validation_0-rmse:113.19577	validation_1-rmse:113.19577
[14]	validation_0-rmse:112.96676	validation_1-rmse:112.96676
[15]	validation_0-rmse:112.73606	validation_1-rmse:112.73606
[16]	validation_0-rmse:112.48335	validation_1-rmse:112.48335
[17]	validation_0-rmse:112.24649	validation_1-rmse:112.24649
[18]	validation_0-rmse:111.61597	validation_1-rmse:111.61597
[19]	validation_0-rmse:111.23004	validation_1-rmse:111.23004
[20]	validation_0-rmse:111.11617	validation_1-rmse:111.11617
[21]	validation_0-rmse:110.89508	validation_1-rmse:110.89508
[22]	validation_0-rmse:110.43816	validation_1-rmse:110.43816
[23]	validation_0-rmse:110.14462	validation_1-rmse:110.14462
[24]	validation_0-rmse:109.82039	validation_1-rmse:109.82039
[25]	validation_0-rmse:109.52867	validation_1-rmse:109.52867
[26]	validation_0-rmse:109.16376	validation_1-rmse:109.16376
[27]	validation_0-rmse:108.98647	validation_1-rmse:108.98647
[28]	validation_0-rmse:108.59392	validation_1-rmse:108.59392
[29]	validation_0-rmse:108.38679	validation_1-rmse:108.38679
[30]	validation_0-rmse:108.10723	validation_1-rmse:108.10723
[31]	validation_0-rmse:107.98273	validation_1-rmse:107.98273
[32]	validation_0-rmse:107.78704	validation_1-rmse:107.78704
[33]	validation_0-rmse:107.67915	validation_1-rmse:107.67915
[34]	validation_0-rmse:107.59724	validation_1-rmse:107.59724
[35]	validation_0-rmse:107.36288	validation_1-rmse:107.36288
[36]	validation_0-rmse:107.24611	validation_1-rmse:107.24611
[37]	validation_0-rmse:107.13180	validation_1-rmse:107.13180
[38]	validation_0-rmse:106.88882	validation_1-rmse:106.88882
[39]	validation_0-rmse:106.66754	validation_1-rmse:106.66754
[40]	validation_0-rmse:106.32001	validation_1-rmse:106.32001
[41]	validation_0-rmse:106.20929	validation_1-rmse:106.20929
[42]	validation_0-rmse:105.90313	validation_1-rmse:105.90313
[43]	validation_0-rmse:105.82066	validation_1-rmse:105.82066
[44]	validation_0-rmse:105.69052	validation_1-rmse:105.69052
[45]	validation_0-rmse:105.54170	validation_1-rmse:105.54170
[46]	validation_0-rmse:105.38900	validation_1-rmse:105.38900
[47]	validation_0-rmse:105.29007	validation_1-rmse:105.29007
[48]	validation_0-rmse:104.96938	validation_1-rmse:104.96938
[49]	validation_0-rmse:104.85564	validation_1-rmse:104.85564
[50]	validation_0-rmse:104.77598	validation_1-rmse:104.77598
[51]	validation_0-rmse:104.65056	validation_1-rmse:104.65056
[52]	validation_0-rmse:104.57097	validation_1-rmse:104.57097
[53]	validation_0-rmse:104.51103	validation_1-rmse:104.51103
[54]	validation_0-rmse:104.29341	validation_1-rmse:104.29341
[55]	validation_0-rmse:104.18283	validation_1-rmse:104.18283
[56]	validation_0-rmse:103.99416	validation_1-rmse:103.99416
[57]	validation_0-rmse:103.85454	validation_1-rmse:103.85454
[58]	validation_0-rmse:103.79718	validation_1-rmse:103.79718
[59]	validation_0-rmse:103.59580	validation_1-rmse:103.59580
[60]	validation_0-rmse:103.52363	validation_1-rmse:103.52363
[61]	validation_0-rmse:103.31070	validation_1-rmse:103.31070
[62]	validation_0-rmse:103.13865	validation_1-rmse:103.13865
[63]	validation_0-rmse:103.05637	validation_1-rmse:103.05637
[64]	validation_0-rmse:102.84352	validation_1-rmse:102.84352
[65]	validation_0-rmse:102.75766	validation_1-rmse:102.75766
[66]	validation_0-rmse:102.69421	validation_1-rmse:102.69421
[67]	validation_0-rmse:102.54546	validation_1-rmse:102.54546
[68]	validation_0-rmse:102.44428	validation_1-rmse:102.44428
[69]	validation_0-rmse:102.30090	validation_1-rmse:102.30090
[70]	validation_0-rmse:102.05886	validation_1-rmse:102.05886
[71]	validation_0-rmse:101.83065	validation_1-rmse:101.83065
[72]	validation_0-rmse:101.65072	validation_1-rmse:101.65072
[73]	validation_0-rmse:101.57503	validation_1-rmse:101.57503
[74]	validation_0-rmse:101.47135	validation_1-rmse:101.47135
[75]	validation_0-rmse:101.39923	validation_1-rmse:101.39923
[76]	validation_0-rmse:101.36518	validation_1-rmse:101.36518
[77]	validation_0-rmse:101.32554	validation_1-rmse:101.32554
[78]	validation_0-rmse:101.08988	validation_1-rmse:101.08988
[79]	validation_0-rmse:100.92074	validation_1-rmse:100.92074
[80]	validation_0-rmse:100.84085	validation_1-rmse:100.84085
[81]	validation_0-rmse:100.80778	validation_1-rmse:100.80778
[82]	validation_0-rmse:100.67857	validation_1-rmse:100.67857
[83]	validation_0-rmse:100.57954	validation_1-rmse:100.57954
[84]	validation_0-rmse:100.38545	validation_1-rmse:100.38545
[85]	validation_0-rmse:100.18837	validation_1-rmse:100.18837
[86]	validation_0-rmse:100.08876	validation_1-rmse:100.08876
[87]	validation_0-rmse:100.00404	validation_1-rmse:100.00404
[88]	validation_0-rmse:99.97361	validation_1-rmse:99.97361
[89]	validation_0-rmse:99.81747	validation_1-rmse:99.81747
[90]	validation_0-rmse:99.72842	validation_1-rmse:99.72842
[91]	validation_0-rmse:99.64551	validation_1-rmse:99.64551
[92]	validation_0-rmse:99.54063	validation_1-rmse:99.54063
[93]	validation_0-rmse:99.39758	validation_1-rmse:99.39758
[94]	validation_0-rmse:99.27048	validation_1-rmse:99.27048
[95]	validation_0-rmse:99.21485	validation_1-rmse:99.21485
[96]	validation_0-rmse:99.05297	validation_1-rmse:99.05297
[97]	validation_0-rmse:98.96003	validation_1-rmse:98.96003
[98]	validation_0-rmse:98.92777	validation_1-rmse:98.92777
[99]	validation_0-rmse:98.79235	validation_1-rmse:98.79235
[100]	validation_0-rmse:98.71846	validation_1-rmse:98.71846
[101]	validation_0-rmse:98.62597	validation_1-rmse:98.62597
[102]	validation_0-rmse:98.53782	validation_1-rmse:98.53782
[103]	validation_0-rmse:98.38305	validation_1-rmse:98.38305
[104]	validation_0-rmse:98.25682	validation_1-rmse:98.25682
[105]	validation_0-rmse:98.17701	validation_1-rmse:98.17701
[106]	validation_0-rmse:98.07447	validation_1-rmse:98.07447
[107]	validation_0-rmse:97.99124	validation_1-rmse:97.99124
[108]	validation_0-rmse:97.88834	validation_1-rmse:97.88834
[109]	validation_0-rmse:97.79163	validation_1-rmse:97.79163
[110]	validation_0-rmse:97.72239	validation_1-rmse:97.72239
[111]	validation_0-rmse:97.67729	validation_1-rmse:97.67729
[112]	validation_0-rmse:97.60591	validation_1-rmse:97.60591
[113]	validation_0-rmse:97.54079	validation_1-rmse:97.54079
[114]	validation_0-rmse:97.37064	validation_1-rmse:97.37064
[115]	validation_0-rmse:97.21470	validation_1-rmse:97.21470
[116]	validation_0-rmse:97.08222	validation_1-rmse:97.08222
[117]	validation_0-rmse:96.99639	validation_1-rmse:96.99639
[118]	validation_0-rmse:96.88954	validation_1-rmse:96.88954
[119]	validation_0-rmse:96.82927	validation_1-rmse:96.82927
[120]	validation_0-rmse:96.75706	validation_1-rmse:96.75706
[121]	validation_0-rmse:96.74022	validation_1-rmse:96.74022
