
Feature reduction based on permutation importance ...
[0]	validation_0-rmse:0.38740	validation_1-rmse:0.38740
[1]	validation_0-rmse:0.30020	validation_1-rmse:0.30020
[2]	validation_0-rmse:0.24424	validation_1-rmse:0.24424
[3]	validation_0-rmse:0.20921	validation_1-rmse:0.20921
[4]	validation_0-rmse:0.18789	validation_1-rmse:0.18789
[5]	validation_0-rmse:0.17460	validation_1-rmse:0.17460
[6]	validation_0-rmse:0.16615	validation_1-rmse:0.16615
[7]	validation_0-rmse:0.16075	validation_1-rmse:0.16075
[8]	validation_0-rmse:0.15708	validation_1-rmse:0.15708
[9]	validation_0-rmse:0.15420	validation_1-rmse:0.15420
[10]	validation_0-rmse:0.15209	validation_1-rmse:0.15209
[11]	validation_0-rmse:0.15004	validation_1-rmse:0.15004
[12]	validation_0-rmse:0.14856	validation_1-rmse:0.14856
[13]	validation_0-rmse:0.14742	validation_1-rmse:0.14742
[14]	validation_0-rmse:0.14634	validation_1-rmse:0.14634
[15]	validation_0-rmse:0.14559	validation_1-rmse:0.14559
[16]	validation_0-rmse:0.14466	validation_1-rmse:0.14466
[17]	validation_0-rmse:0.14367	validation_1-rmse:0.14367
[18]	validation_0-rmse:0.14305	validation_1-rmse:0.14305
[19]	validation_0-rmse:0.14255	validation_1-rmse:0.14255
[20]	validation_0-rmse:0.14186	validation_1-rmse:0.14186
[21]	validation_0-rmse:0.14124	validation_1-rmse:0.14124
[22]	validation_0-rmse:0.14079	validation_1-rmse:0.14079
[23]	validation_0-rmse:0.14028	validation_1-rmse:0.14028
[24]	validation_0-rmse:0.13961	validation_1-rmse:0.13961
[25]	validation_0-rmse:0.13897	validation_1-rmse:0.13897
[26]	validation_0-rmse:0.13861	validation_1-rmse:0.13861
[27]	validation_0-rmse:0.13825	validation_1-rmse:0.13825
[28]	validation_0-rmse:0.13733	validation_1-rmse:0.13733
[29]	validation_0-rmse:0.13638	validation_1-rmse:0.13638
[30]	validation_0-rmse:0.13601	validation_1-rmse:0.13601
[31]	validation_0-rmse:0.13573	validation_1-rmse:0.13573
[32]	validation_0-rmse:0.13539	validation_1-rmse:0.13539
[33]	validation_0-rmse:0.13513	validation_1-rmse:0.13513
[34]	validation_0-rmse:0.13446	validation_1-rmse:0.13446
[35]	validation_0-rmse:0.13436	validation_1-rmse:0.13436
[36]	validation_0-rmse:0.13406	validation_1-rmse:0.13406
[37]	validation_0-rmse:0.13367	validation_1-rmse:0.13367
[38]	validation_0-rmse:0.13345	validation_1-rmse:0.13345
[39]	validation_0-rmse:0.13293	validation_1-rmse:0.13293
