
Training final model ...
>>> Training model <class 'xgboost.sklearn.XGBRegressor'> based on data between 2005-01-01 00:45:00 and 2024-12-31 23:15:00 ...
>>> Fitting model to training data ...
[0]	validation_0-rmse:0.38740	validation_1-rmse:0.38547
[1]	validation_0-rmse:0.30020	validation_1-rmse:0.29905
[2]	validation_0-rmse:0.24424	validation_1-rmse:0.24400
[3]	validation_0-rmse:0.20921	validation_1-rmse:0.20968
[4]	validation_0-rmse:0.18789	validation_1-rmse:0.18911
[5]	validation_0-rmse:0.17460	validation_1-rmse:0.17628
[6]	validation_0-rmse:0.16615	validation_1-rmse:0.16826
[7]	validation_0-rmse:0.16075	validation_1-rmse:0.16308
[8]	validation_0-rmse:0.15708	validation_1-rmse:0.15961
[9]	validation_0-rmse:0.15420	validation_1-rmse:0.15676
[10]	validation_0-rmse:0.15209	validation_1-rmse:0.15476
[11]	validation_0-rmse:0.15004	validation_1-rmse:0.15266
[12]	validation_0-rmse:0.14856	validation_1-rmse:0.15121
[13]	validation_0-rmse:0.14742	validation_1-rmse:0.15016
[14]	validation_0-rmse:0.14634	validation_1-rmse:0.14905
[15]	validation_0-rmse:0.14560	validation_1-rmse:0.14837
[16]	validation_0-rmse:0.14466	validation_1-rmse:0.14741
[17]	validation_0-rmse:0.14367	validation_1-rmse:0.14646
[18]	validation_0-rmse:0.14306	validation_1-rmse:0.14590
[19]	validation_0-rmse:0.14255	validation_1-rmse:0.14544
[20]	validation_0-rmse:0.14186	validation_1-rmse:0.14478
[21]	validation_0-rmse:0.14124	validation_1-rmse:0.14416
[22]	validation_0-rmse:0.14079	validation_1-rmse:0.14377
[23]	validation_0-rmse:0.14028	validation_1-rmse:0.14330
[24]	validation_0-rmse:0.13961	validation_1-rmse:0.14269
[25]	validation_0-rmse:0.13897	validation_1-rmse:0.14202
[26]	validation_0-rmse:0.13862	validation_1-rmse:0.14170
[27]	validation_0-rmse:0.13826	validation_1-rmse:0.14137
[28]	validation_0-rmse:0.13733	validation_1-rmse:0.14050
[29]	validation_0-rmse:0.13698	validation_1-rmse:0.14019
[30]	validation_0-rmse:0.13604	validation_1-rmse:0.13924
[31]	validation_0-rmse:0.13565	validation_1-rmse:0.13891
[32]	validation_0-rmse:0.13482	validation_1-rmse:0.13812
[33]	validation_0-rmse:0.13448	validation_1-rmse:0.13785
