
Training final model ...
>>> Training model <class 'xgboost.sklearn.XGBRegressor'> based on data between 2005-01-01 00:45:00 and 2024-12-31 23:45:00 ...
>>> Fitting model to training data ...
[0]	validation_0-rmse:185.11802	validation_1-rmse:184.35022
[1]	validation_0-rmse:154.17017	validation_1-rmse:153.54128
[2]	validation_0-rmse:136.36258	validation_1-rmse:135.88500
[3]	validation_0-rmse:126.52564	validation_1-rmse:126.15580
[4]	validation_0-rmse:121.27460	validation_1-rmse:121.04368
[5]	validation_0-rmse:118.47730	validation_1-rmse:118.38885
[6]	validation_0-rmse:116.98657	validation_1-rmse:116.91071
[7]	validation_0-rmse:115.93105	validation_1-rmse:115.93634
[8]	validation_0-rmse:115.26781	validation_1-rmse:115.35900
[9]	validation_0-rmse:114.90300	validation_1-rmse:115.02270
[10]	validation_0-rmse:114.39260	validation_1-rmse:114.55386
[11]	validation_0-rmse:113.90200	validation_1-rmse:114.10400
[12]	validation_0-rmse:113.58487	validation_1-rmse:113.81515
[13]	validation_0-rmse:113.14914	validation_1-rmse:113.45330
[14]	validation_0-rmse:112.85873	validation_1-rmse:113.22469
[15]	validation_0-rmse:112.68333	validation_1-rmse:113.13115
[16]	validation_0-rmse:112.28168	validation_1-rmse:112.84127
[17]	validation_0-rmse:112.01332	validation_1-rmse:112.63764
[18]	validation_0-rmse:111.73322	validation_1-rmse:112.43446
[19]	validation_0-rmse:111.17583	validation_1-rmse:111.90060
[20]	validation_0-rmse:110.85038	validation_1-rmse:111.66811
[21]	validation_0-rmse:110.56450	validation_1-rmse:111.44285
[22]	validation_0-rmse:110.34817	validation_1-rmse:111.27071
[23]	validation_0-rmse:110.02465	validation_1-rmse:110.97777
[24]	validation_0-rmse:109.93603	validation_1-rmse:110.90457
[25]	validation_0-rmse:109.62699	validation_1-rmse:110.62249
[26]	validation_0-rmse:109.23021	validation_1-rmse:110.32175
[27]	validation_0-rmse:109.10695	validation_1-rmse:110.21918
[28]	validation_0-rmse:108.81809	validation_1-rmse:109.99304
[29]	validation_0-rmse:108.66971	validation_1-rmse:109.85961
[30]	validation_0-rmse:108.46127	validation_1-rmse:109.69785
[31]	validation_0-rmse:108.24126	validation_1-rmse:109.49695
[32]	validation_0-rmse:108.10803	validation_1-rmse:109.41657
[33]	validation_0-rmse:107.78793	validation_1-rmse:109.12429
[34]	validation_0-rmse:107.57544	validation_1-rmse:108.96108
[35]	validation_0-rmse:107.39765	validation_1-rmse:108.83279
[36]	validation_0-rmse:107.29375	validation_1-rmse:108.75072
[37]	validation_0-rmse:107.02678	validation_1-rmse:108.52388
[38]	validation_0-rmse:106.80414	validation_1-rmse:108.36262
[39]	validation_0-rmse:106.57670	validation_1-rmse:108.18462
[40]	validation_0-rmse:106.41872	validation_1-rmse:108.03792
[41]	validation_0-rmse:106.28774	validation_1-rmse:107.91877
[42]	validation_0-rmse:106.02169	validation_1-rmse:107.68246
[43]	validation_0-rmse:105.86752	validation_1-rmse:107.58962
[44]	validation_0-rmse:105.76186	validation_1-rmse:107.50375
[45]	validation_0-rmse:105.68864	validation_1-rmse:107.43246
[46]	validation_0-rmse:105.46403	validation_1-rmse:107.25195
[47]	validation_0-rmse:105.38416	validation_1-rmse:107.19984
[48]	validation_0-rmse:105.21083	validation_1-rmse:107.04792
[49]	validation_0-rmse:104.92321	validation_1-rmse:106.79261
[50]	validation_0-rmse:104.75558	validation_1-rmse:106.70657
[51]	validation_0-rmse:104.65021	validation_1-rmse:106.64496
[52]	validation_0-rmse:104.49951	validation_1-rmse:106.55144
