
Feature reduction based on permutation importance ...
[0]	validation_0-rmse:6.58013	validation_1-rmse:6.58013
[1]	validation_0-rmse:5.36035	validation_1-rmse:5.36035
[2]	validation_0-rmse:4.60877	validation_1-rmse:4.60877
[3]	validation_0-rmse:4.13898	validation_1-rmse:4.13898
[4]	validation_0-rmse:3.85629	validation_1-rmse:3.85629
[5]	validation_0-rmse:3.68049	validation_1-rmse:3.68049
[6]	validation_0-rmse:3.57062	validation_1-rmse:3.57062
[7]	validation_0-rmse:3.49049	validation_1-rmse:3.49049
[8]	validation_0-rmse:3.43829	validation_1-rmse:3.43829
[9]	validation_0-rmse:3.39443	validation_1-rmse:3.39443
[10]	validation_0-rmse:3.36784	validation_1-rmse:3.36784
[11]	validation_0-rmse:3.34869	validation_1-rmse:3.34869
[12]	validation_0-rmse:3.31166	validation_1-rmse:3.31166
[13]	validation_0-rmse:3.28019	validation_1-rmse:3.28019
[14]	validation_0-rmse:3.26258	validation_1-rmse:3.26258
[15]	validation_0-rmse:3.24914	validation_1-rmse:3.24914
[16]	validation_0-rmse:3.23781	validation_1-rmse:3.23781
[17]	validation_0-rmse:3.20941	validation_1-rmse:3.20941
[18]	validation_0-rmse:3.18173	validation_1-rmse:3.18173
[19]	validation_0-rmse:3.17306	validation_1-rmse:3.17306
[20]	validation_0-rmse:3.15875	validation_1-rmse:3.15875
[21]	validation_0-rmse:3.12903	validation_1-rmse:3.12903
[22]	validation_0-rmse:3.12077	validation_1-rmse:3.12077
[23]	validation_0-rmse:3.09944	validation_1-rmse:3.09944
[24]	validation_0-rmse:3.08541	validation_1-rmse:3.08541
[25]	validation_0-rmse:3.06867	validation_1-rmse:3.06867
[26]	validation_0-rmse:3.05047	validation_1-rmse:3.05047
[27]	validation_0-rmse:3.03113	validation_1-rmse:3.03113
[28]	validation_0-rmse:3.01529	validation_1-rmse:3.01529
[29]	validation_0-rmse:3.00338	validation_1-rmse:3.00338
[30]	validation_0-rmse:2.99737	validation_1-rmse:2.99737
[31]	validation_0-rmse:2.99096	validation_1-rmse:2.99096
[32]	validation_0-rmse:2.98650	validation_1-rmse:2.98650
[33]	validation_0-rmse:2.97453	validation_1-rmse:2.97453
[34]	validation_0-rmse:2.95019	validation_1-rmse:2.95019
[35]	validation_0-rmse:2.93314	validation_1-rmse:2.93314
[36]	validation_0-rmse:2.91214	validation_1-rmse:2.91214
[37]	validation_0-rmse:2.90687	validation_1-rmse:2.90687
[38]	validation_0-rmse:2.89218	validation_1-rmse:2.89218
[39]	validation_0-rmse:2.87678	validation_1-rmse:2.87678
[40]	validation_0-rmse:2.87004	validation_1-rmse:2.87004
[41]	validation_0-rmse:2.86443	validation_1-rmse:2.86443
[42]	validation_0-rmse:2.85765	validation_1-rmse:2.85765
[43]	validation_0-rmse:2.84911	validation_1-rmse:2.84911
[44]	validation_0-rmse:2.83752	validation_1-rmse:2.83752
[45]	validation_0-rmse:2.82765	validation_1-rmse:2.82765
[46]	validation_0-rmse:2.81877	validation_1-rmse:2.81877
[47]	validation_0-rmse:2.81667	validation_1-rmse:2.81667
[48]	validation_0-rmse:2.80776	validation_1-rmse:2.80776
[49]	validation_0-rmse:2.79109	validation_1-rmse:2.79109
[50]	validation_0-rmse:2.78880	validation_1-rmse:2.78880
[51]	validation_0-rmse:2.78458	validation_1-rmse:2.78458
[52]	validation_0-rmse:2.77018	validation_1-rmse:2.77018
[53]	validation_0-rmse:2.75689	validation_1-rmse:2.75689
[54]	validation_0-rmse:2.74963	validation_1-rmse:2.74963
[55]	validation_0-rmse:2.74360	validation_1-rmse:2.74360
[56]	validation_0-rmse:2.73598	validation_1-rmse:2.73598
[57]	validation_0-rmse:2.72369	validation_1-rmse:2.72369
[58]	validation_0-rmse:2.71919	validation_1-rmse:2.71919
[59]	validation_0-rmse:2.71561	validation_1-rmse:2.71561
[60]	validation_0-rmse:2.71005	validation_1-rmse:2.71005
[61]	validation_0-rmse:2.70154	validation_1-rmse:2.70154
[62]	validation_0-rmse:2.69594	validation_1-rmse:2.69594
[63]	validation_0-rmse:2.68705	validation_1-rmse:2.68705
[64]	validation_0-rmse:2.68147	validation_1-rmse:2.68147
[65]	validation_0-rmse:2.67449	validation_1-rmse:2.67449
[66]	validation_0-rmse:2.66966	validation_1-rmse:2.66966
[67]	validation_0-rmse:2.66395	validation_1-rmse:2.66395
[68]	validation_0-rmse:2.65617	validation_1-rmse:2.65617
[69]	validation_0-rmse:2.64860	validation_1-rmse:2.64860
[70]	validation_0-rmse:2.64334	validation_1-rmse:2.64334
[71]	validation_0-rmse:2.63912	validation_1-rmse:2.63912
[72]	validation_0-rmse:2.63236	validation_1-rmse:2.63236
[73]	validation_0-rmse:2.62246	validation_1-rmse:2.62246
[74]	validation_0-rmse:2.61831	validation_1-rmse:2.61831
[75]	validation_0-rmse:2.61516	validation_1-rmse:2.61516
[76]	validation_0-rmse:2.60673	validation_1-rmse:2.60673
[77]	validation_0-rmse:2.60415	validation_1-rmse:2.60415
[78]	validation_0-rmse:2.59800	validation_1-rmse:2.59800
[79]	validation_0-rmse:2.59166	validation_1-rmse:2.59166
[80]	validation_0-rmse:2.58824	validation_1-rmse:2.58824
[81]	validation_0-rmse:2.58072	validation_1-rmse:2.58072
[82]	validation_0-rmse:2.57717	validation_1-rmse:2.57717
[83]	validation_0-rmse:2.57418	validation_1-rmse:2.57418
[84]	validation_0-rmse:2.56727	validation_1-rmse:2.56727
[85]	validation_0-rmse:2.55737	validation_1-rmse:2.55737
[86]	validation_0-rmse:2.55325	validation_1-rmse:2.55325
[87]	validation_0-rmse:2.54445	validation_1-rmse:2.54445
[88]	validation_0-rmse:2.54139	validation_1-rmse:2.54139
[89]	validation_0-rmse:2.53662	validation_1-rmse:2.53662
[90]	validation_0-rmse:2.53266	validation_1-rmse:2.53266
[91]	validation_0-rmse:2.53030	validation_1-rmse:2.53030
[92]	validation_0-rmse:2.51890	validation_1-rmse:2.51890
[93]	validation_0-rmse:2.51588	validation_1-rmse:2.51588
[94]	validation_0-rmse:2.51357	validation_1-rmse:2.51357
[95]	validation_0-rmse:2.51143	validation_1-rmse:2.51143
