
Training final model ...
>>> Training model <class 'xgboost.sklearn.XGBRegressor'> based on data between 2005-01-01 00:45:00 and 2024-12-31 23:15:00 ...
>>> Fitting model to training data ...
[0]	validation_0-rmse:6.58013	validation_1-rmse:6.54892
[1]	validation_0-rmse:5.36035	validation_1-rmse:5.34068
[2]	validation_0-rmse:4.60877	validation_1-rmse:4.59894
[3]	validation_0-rmse:4.13898	validation_1-rmse:4.13697
[4]	validation_0-rmse:3.85629	validation_1-rmse:3.86163
[5]	validation_0-rmse:3.68049	validation_1-rmse:3.69165
[6]	validation_0-rmse:3.57062	validation_1-rmse:3.58579
[7]	validation_0-rmse:3.49049	validation_1-rmse:3.50914
[8]	validation_0-rmse:3.43830	validation_1-rmse:3.46077
[9]	validation_0-rmse:3.39444	validation_1-rmse:3.41779
[10]	validation_0-rmse:3.36785	validation_1-rmse:3.39268
[11]	validation_0-rmse:3.34869	validation_1-rmse:3.37643
[12]	validation_0-rmse:3.31167	validation_1-rmse:3.33997
[13]	validation_0-rmse:3.28020	validation_1-rmse:3.31099
[14]	validation_0-rmse:3.26259	validation_1-rmse:3.29438
[15]	validation_0-rmse:3.24915	validation_1-rmse:3.28155
[16]	validation_0-rmse:3.23782	validation_1-rmse:3.27054
[17]	validation_0-rmse:3.20942	validation_1-rmse:3.24174
[18]	validation_0-rmse:3.18174	validation_1-rmse:3.21432
[19]	validation_0-rmse:3.17309	validation_1-rmse:3.20656
[20]	validation_0-rmse:3.15879	validation_1-rmse:3.19274
[21]	validation_0-rmse:3.11854	validation_1-rmse:3.15401
[22]	validation_0-rmse:3.11002	validation_1-rmse:3.14570
[23]	validation_0-rmse:3.09463	validation_1-rmse:3.13073
[24]	validation_0-rmse:3.09066	validation_1-rmse:3.12679
[25]	validation_0-rmse:3.07951	validation_1-rmse:3.11622
[26]	validation_0-rmse:3.06360	validation_1-rmse:3.10085
[27]	validation_0-rmse:3.04284	validation_1-rmse:3.07911
[28]	validation_0-rmse:3.03116	validation_1-rmse:3.06739
[29]	validation_0-rmse:3.01495	validation_1-rmse:3.05203
[30]	validation_0-rmse:2.99727	validation_1-rmse:3.03561
[31]	validation_0-rmse:2.98276	validation_1-rmse:3.02189
[32]	validation_0-rmse:2.97694	validation_1-rmse:3.01699
[33]	validation_0-rmse:2.96428	validation_1-rmse:3.00450
[34]	validation_0-rmse:2.95153	validation_1-rmse:2.99140
[35]	validation_0-rmse:2.94113	validation_1-rmse:2.98216
[36]	validation_0-rmse:2.92215	validation_1-rmse:2.96425
[37]	validation_0-rmse:2.91380	validation_1-rmse:2.95608
[38]	validation_0-rmse:2.90677	validation_1-rmse:2.95029
[39]	validation_0-rmse:2.88786	validation_1-rmse:2.93274
[40]	validation_0-rmse:2.87570	validation_1-rmse:2.92066
[41]	validation_0-rmse:2.87216	validation_1-rmse:2.91758
[42]	validation_0-rmse:2.86720	validation_1-rmse:2.91266
[43]	validation_0-rmse:2.85210	validation_1-rmse:2.89877
[44]	validation_0-rmse:2.84563	validation_1-rmse:2.89251
[45]	validation_0-rmse:2.83402	validation_1-rmse:2.88071
[46]	validation_0-rmse:2.83115	validation_1-rmse:2.87774
[47]	validation_0-rmse:2.81855	validation_1-rmse:2.86559
[48]	validation_0-rmse:2.80764	validation_1-rmse:2.85509
[49]	validation_0-rmse:2.80334	validation_1-rmse:2.85125
[50]	validation_0-rmse:2.79337	validation_1-rmse:2.84140
[51]	validation_0-rmse:2.78485	validation_1-rmse:2.83320
[52]	validation_0-rmse:2.77815	validation_1-rmse:2.82720
[53]	validation_0-rmse:2.77101	validation_1-rmse:2.81924
[54]	validation_0-rmse:2.76219	validation_1-rmse:2.81038
[55]	validation_0-rmse:2.75185	validation_1-rmse:2.80002
[56]	validation_0-rmse:2.74620	validation_1-rmse:2.79490
[57]	validation_0-rmse:2.73606	validation_1-rmse:2.78548
[58]	validation_0-rmse:2.72501	validation_1-rmse:2.77534
[59]	validation_0-rmse:2.72179	validation_1-rmse:2.77268
[60]	validation_0-rmse:2.71571	validation_1-rmse:2.76705
[61]	validation_0-rmse:2.71046	validation_1-rmse:2.76239
[62]	validation_0-rmse:2.70450	validation_1-rmse:2.75747
[63]	validation_0-rmse:2.69629	validation_1-rmse:2.74968
[64]	validation_0-rmse:2.68407	validation_1-rmse:2.73688
[65]	validation_0-rmse:2.67761	validation_1-rmse:2.73040
[66]	validation_0-rmse:2.67221	validation_1-rmse:2.72487
[67]	validation_0-rmse:2.66766	validation_1-rmse:2.72049
[68]	validation_0-rmse:2.66271	validation_1-rmse:2.71587
[69]	validation_0-rmse:2.65918	validation_1-rmse:2.71276
[70]	validation_0-rmse:2.65656	validation_1-rmse:2.71064
[71]	validation_0-rmse:2.65284	validation_1-rmse:2.70726
[72]	validation_0-rmse:2.64782	validation_1-rmse:2.70245
[73]	validation_0-rmse:2.63371	validation_1-rmse:2.68825
[74]	validation_0-rmse:2.62600	validation_1-rmse:2.68040
[75]	validation_0-rmse:2.62243	validation_1-rmse:2.67733
[76]	validation_0-rmse:2.61361	validation_1-rmse:2.66914
[77]	validation_0-rmse:2.60748	validation_1-rmse:2.66361
[78]	validation_0-rmse:2.60509	validation_1-rmse:2.66145
[79]	validation_0-rmse:2.60062	validation_1-rmse:2.65737
[80]	validation_0-rmse:2.59810	validation_1-rmse:2.65500
[81]	validation_0-rmse:2.59565	validation_1-rmse:2.65312
[82]	validation_0-rmse:2.59461	validation_1-rmse:2.65252
[83]	validation_0-rmse:2.58885	validation_1-rmse:2.64732
[84]	validation_0-rmse:2.58097	validation_1-rmse:2.63849
[85]	validation_0-rmse:2.57165	validation_1-rmse:2.62866
[86]	validation_0-rmse:2.56449	validation_1-rmse:2.62134
[87]	validation_0-rmse:2.55868	validation_1-rmse:2.61542
[88]	validation_0-rmse:2.55461	validation_1-rmse:2.61252
[89]	validation_0-rmse:2.55168	validation_1-rmse:2.61017
[90]	validation_0-rmse:2.54692	validation_1-rmse:2.60571
[91]	validation_0-rmse:2.53910	validation_1-rmse:2.59809
[92]	validation_0-rmse:2.53229	validation_1-rmse:2.59087
[93]	validation_0-rmse:2.52537	validation_1-rmse:2.58423
[94]	validation_0-rmse:2.52124	validation_1-rmse:2.58074
[95]	validation_0-rmse:2.51807	validation_1-rmse:2.57729
[96]	validation_0-rmse:2.51202	validation_1-rmse:2.57121
[97]	validation_0-rmse:2.50686	validation_1-rmse:2.56649
[98]	validation_0-rmse:2.49940	validation_1-rmse:2.55938
[99]	validation_0-rmse:2.49134	validation_1-rmse:2.55135
[100]	validation_0-rmse:2.48719	validation_1-rmse:2.54761
[101]	validation_0-rmse:2.48351	validation_1-rmse:2.54400
[102]	validation_0-rmse:2.47955	validation_1-rmse:2.54047
[103]	validation_0-rmse:2.47580	validation_1-rmse:2.53695
[104]	validation_0-rmse:2.47017	validation_1-rmse:2.53171
[105]	validation_0-rmse:2.46738	validation_1-rmse:2.52947
[106]	validation_0-rmse:2.46237	validation_1-rmse:2.52434
[107]	validation_0-rmse:2.45902	validation_1-rmse:2.52129
[108]	validation_0-rmse:2.45725	validation_1-rmse:2.51978
[109]	validation_0-rmse:2.45255	validation_1-rmse:2.51497
[110]	validation_0-rmse:2.44623	validation_1-rmse:2.50898
[111]	validation_0-rmse:2.44084	validation_1-rmse:2.50394
[112]	validation_0-rmse:2.43624	validation_1-rmse:2.49908
[113]	validation_0-rmse:2.43302	validation_1-rmse:2.49634
[114]	validation_0-rmse:2.43005	validation_1-rmse:2.49329
[115]	validation_0-rmse:2.42438	validation_1-rmse:2.48765
[116]	validation_0-rmse:2.42030	validation_1-rmse:2.48368
[117]	validation_0-rmse:2.41595	validation_1-rmse:2.47930
[118]	validation_0-rmse:2.40897	validation_1-rmse:2.47255
[119]	validation_0-rmse:2.40683	validation_1-rmse:2.47075
[120]	validation_0-rmse:2.40569	validation_1-rmse:2.46990
[121]	validation_0-rmse:2.40058	validation_1-rmse:2.46513
[122]	validation_0-rmse:2.39715	validation_1-rmse:2.46206
[123]	validation_0-rmse:2.39321	validation_1-rmse:2.45814
[124]	validation_0-rmse:2.39107	validation_1-rmse:2.45612
[125]	validation_0-rmse:2.38904	validation_1-rmse:2.45410
[126]	validation_0-rmse:2.38382	validation_1-rmse:2.44913
[127]	validation_0-rmse:2.38216	validation_1-rmse:2.44751
[128]	validation_0-rmse:2.37829	validation_1-rmse:2.44374
[129]	validation_0-rmse:2.37344	validation_1-rmse:2.43958
[130]	validation_0-rmse:2.37023	validation_1-rmse:2.43676
[131]	validation_0-rmse:2.36801	validation_1-rmse:2.43484
[132]	validation_0-rmse:2.36610	validation_1-rmse:2.43328
[133]	validation_0-rmse:2.35910	validation_1-rmse:2.42640
[134]	validation_0-rmse:2.35413	validation_1-rmse:2.42131
[135]	validation_0-rmse:2.35121	validation_1-rmse:2.41863
